id,source_id,review_route,quality_score,primary_skill,prerequisite,license_decision,age_decision,title_or_question,canonical_url
deepmind-1f6e13a2ba960f87,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Expand (-1 + 3 + 0)*(1 + a**3 - 1) - a**3 + 6*a**3 - 3*a**3 + 3*a**3 + a**3 - 2*a**3.,
deepmind-20c10148bd0bd0d7,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is -7977 divided by 3?,
deepmind-239e3693aacbcfea,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many minutes are there between 6:31 PM and 4:28 AM?,
deepmind-29e10eb38e6c2128,deepmind_mathematics_dataset,hold_out_of_scope,88,,,clear_for_candidate_generation,clear_for_candidate_review,What is prob of sequence fvfe when four letters picked without replacement from ivfnieniiiiifvi?,
deepmind-2e17bd554c486c4c,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Let n(i) be the second derivative of -i**4/12 + i**3/2 + i**2 - 3*i. Let g be n(3). Let j(r) = r**2 + 7*r + 8. Let f be j(-6). Solve -g*k - f = -6 for k.,
deepmind-33fecd4175d1bf38,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let i(k) be the third derivative of k**5/20 - 5*k**4/3 + 3*k**3/2 - 961*k**2 - k. Calculate i(13).,
deepmind-376480479971de4b,deepmind_mathematics_dataset,hold_out_of_scope,88,,,clear_for_candidate_generation,clear_for_candidate_review,Three letters picked without replacement from qjqqqjqqjjqj. Give prob of sequence jqj.,
deepmind-3976c4d4a62b250f,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let z = 12 - 6. Let i(a) = -a. Let n(v) = 1 - v. Let j be (188/36)/(-1) - 6/(-27). Let t(q) = j*i(q) + z*n(q). Give t(8).,
deepmind-3be6d3d4b12ca739,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Expand (3 + 0 - 2 - 2*g)*(-24*g + 3*g + 3*g).,
deepmind-47b6ddc31411b3a2,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,What is 9416.63l in millilitres?,
deepmind-47d4ab203d3afcf3,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Let p = 13 - 10. Suppose -3*g + 4*u = p*u - 14, -g = -2*u - 3. Let z be -12*((-6)/8)/((-30)/(-20)). Solve -4*w - w + 5 = g*d, d = 4*w + z for d.",
deepmind-48929b5da5d137e2,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Expand (-25 + 3 - 112)*(-7*x**2 - 15*x + 15*x).,
deepmind-493fe2179bae70ec,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Suppose -4*g = -2*k + 138, -g - 5*k = -6*g - 185. Let l be g/((-20)/5) + -2. Suppose -6 = -4*d + l. Solve j - d = -4 for j.",
deepmind-4ddd6eba73a6460c,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Expand (28 - 32 + 35)*(3 - 2*b**2 - 3)*(8*b + 14*b - 6*b).,
deepmind-4ded62aa76a94e59,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,What is 1.769943l in millilitres?,
deepmind-4e3e7cc613946044,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is -2391 - 5?,
deepmind-4fcf1f56f804fe53,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Solve -17*a = -33*a + 224 for a.,
deepmind-5026541bef72a2bb,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is (-492)/205*-2*(-60)/176?,
deepmind-5621d65b4ec425bd,deepmind_mathematics_dataset,hold_out_of_scope,88,,,clear_for_candidate_generation,clear_for_candidate_review,"Two letters picked without replacement from {a: 3, l: 1, g: 1}. Give prob of sequence al.",
deepmind-5ae02dc3b88d89ff,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,"In base 12, what is -75a25 - -5?",
deepmind-5b20e8bab906dae4,deepmind_mathematics_dataset,hold_out_of_scope,88,,,clear_for_candidate_generation,clear_for_candidate_review,Calculate prob of sequence eh when two letters picked without replacement from hjjjhkdkjkjjehhjpke.,
deepmind-5cf9084a101f658d,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Let z(k) = k + 1. Let w(y) = -9*y - 71. Let g(t) = w(t) + 3*z(t). Let m be g(-12). Solve -5*a - o = m*o + 5, 0 = -4*a + 4*o - 4 for a.",
deepmind-5e26ed7b147e40f5,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is the product of -0.03901 and -2.8?,
deepmind-5e6cfe8066af6008,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Let y(a) = 12 - a. Let m be y(8). Let x(h) = 4 - h. Let g be x(m). Suppose l + g*l = 4. Solve 0 = -2*j + 6*j + l for j.,
deepmind-5fe544a7eb1e765f,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Solve -2*l + 4*k - 54 = -64, -5*k + 4 = -l + 6 for l.",
deepmind-608f8c7556bfa784,deepmind_mathematics_dataset,hold_out_of_scope,88,,,clear_for_candidate_generation,clear_for_candidate_review,"Calculate prob of sequence bmttm when five letters picked without replacement from {b: 8, m: 6, t: 6}.",
deepmind-619a3ef6393d9b53,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Solve 26*a + 2*p + 46 = 19*a, 2*p = -5*a - 30 for a.",
deepmind-6288032d0be258a3,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Evaluate (3/4*2*-2)/((-3937968)/(-85608)).,
deepmind-6374d833f3d548da,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,-5.668 times 127816,
deepmind-68f65736d905542a,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,-1084356 divided by 180726,
deepmind-76fd9b4e01a5adfe,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,"In base 8, what is 4 - -2551035?",
deepmind-7710decfb5d4f626,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Divide -227439 by 21.,
deepmind-7c610b1eb13e585a,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let u(t) = 4*t - 45. Let d be u(12). Let w(z) = 31 - 10*z. Let y be w(d). Let a(k) = 22*k - 1. Calculate a(y).,
deepmind-85e084488088b5ba,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Work out -4141384 * -50.,
deepmind-872b0776e6388f78,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Solve -124190*h = -124409*h + 11423 + 1060 for h.,
deepmind-8bde45d25a99e138,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let d(y) = -2*y**3 - 8*y**2 + 4*y - 3. What is d(-6)?,
deepmind-8c6111f2ea2a6965,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Solve 3*d - 2*d = t, -5*d = -9*t + 11*t for d.",
deepmind-8d9786114d1e010c,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Solve -2*x = 3*x + 5*j - 35, 28*x - 31*j + 29*j = 316 for x.",
deepmind-918fcb546fe95179,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Expand (6 + 8 + 3)*(52*h**5 - 823*h**2 + 1655*h**2 - 832*h**2).,
deepmind-996b6fd21f37ccaf,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Solve -100 = 6*t + q, 104*t + 4*q + 21*q + 156 = 100*t + 2*q for t.",
deepmind-9a6be8e0e90aa37b,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let b(n) = -25*n**2 - 379*n - 6. Calculate b(-13).,
deepmind-a1246abb6609d94a,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Suppose -4*a + 24 = -a. Suppose 2*j - 4*j = -a. Solve 2*q = -2*q - j for q.,
deepmind-a2d0503d170747c9,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,Convert 409633.3 milligrams to nanograms.,
deepmind-b04d7d7faa587244,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many minutes are there between 6:57 PM and 1:48 AM?,
deepmind-b1dc8a25bb35dd07,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,What is 400 minutes after 7:28 AM?,
deepmind-b45c4d3fd9798dbb,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let f(n) = 1681 + 7*n - 1663 + 2*n + 11*n + n**2. Give f(-18).,
deepmind-b6b44be34991e554,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Solve -146*v + 121*v - 340 = 185 for v.,
deepmind-b70c88957bdea6b6,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is 13.0353518935 minus 0.1?,
deepmind-b83fa80efdb0aab7,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many meters are there in 187.28039 nanometers?,
deepmind-ba0db04b479ca6d5,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,0 divided by -1116,
deepmind-bb121dd2e9e6e479,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Solve 75*b + 63*b - b - 1063 = 307 for b.,
deepmind-bf5dcb0a1da0d0c3,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,11825250 divided by 250,
deepmind-bffe3753bb088a8c,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many millilitres are there in 11/4 of a litre?,
deepmind-c13fba68f687c0a2,deepmind_mathematics_dataset,hold_out_of_scope,88,,,clear_for_candidate_generation,clear_for_candidate_review,"Three letters picked without replacement from {y: 5, h: 1, m: 3, s: 6, k: 1}. What is prob of sequence mmh?",
deepmind-c1681b5690c4a768,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is 11902577 minus 41078?,
deepmind-c26f807f6e0c7047,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Solve 0 - 20 = -5*i for i.,
deepmind-c6fcf271f103611c,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Calculate -1161 divided by 3732.,
deepmind-c79aa6e857d9a736,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Let k = -96 + 80. Let q = k + 19. Let b be -1 + -1 + 4/(-1 + q). Solve 0*p = 2*p + 5*l, 3*l = b for p.",
deepmind-cd1e1fd551fb0315,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is the difference between -12 and -4258709581271.6987?,
deepmind-d241f4c1a88a0997,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Solve -3*t + 2*i + 5 = 0, -4*t - 2*i + 6 - 4 = 0 for t.",
deepmind-d25c9bbc4e0f7400,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Let i(f) = -f**2 - 247*f - 2142. Let w be i(-9). Solve 3*b + 14 = o + 16, -2*b - 2 = w for o.",
deepmind-d522384246cfbbe5,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Expand -5*d**5 - d + d + 9393*d**2 - 347*d**5 - 9393*d**2 + (4 - 2*d**3 - 4)*(2*d**2 - 3*d**2 + 2*d**2) - d**5 - d + d.,
deepmind-d5d300f0fa20e0cc,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,Convert 382239.3 millilitres to litres.,
deepmind-da44b2e0ee80e25f,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is ((60/400*4)/(43/(1505/42)))/((-18)/(-1884)*((-4)/(-6))/(-2))?,
deepmind-dc0fd616c7f56053,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many minutes are there between 1:07 AM and 10:16 AM?,
deepmind-e0c9de9d3b09510f,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Calculate -5 divided by -114.,
deepmind-e4c521be2734db49,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,((-2)/(-36))/((-1)/2),
deepmind-e531465fd4317448,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Evaluate 2/((28/(-12))/7).,
deepmind-efdc1ec72e6c0218,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Let r = -1337 - -1352. Solve 11*x - r*x + 4*m - 24 = 0, 4*x = -4*m for x.",
deepmind-f1b3fcb347843aa0,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,What is the value of -2*(9/(-18))/((-3)/9)?,
deepmind-f2467a7dd3730089,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let x(i) = i**2 - 4*i - 20. Determine x(-6).,
deepmind-f40b054572e2d6d2,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let x(h) = 28*h**2 + 806*h - 42. What is x(-29)?,
deepmind-f47d56ff9a46bd05,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Calculate 751125 + 337.44936.,
deepmind-f583c50343cfed76,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Product of 432 and -3.,
deepmind-f68f78d5a070af35,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,"In base 14, what is 274d + -d363?",
deepmind-f6fabc3a10ac93be,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,0.3 times -301349,
deepmind-f785b056eadb0d94,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let q(t) be the third derivative of -t**6/120 - 7*t**5/60 - t**4/3 - 5*t**3/3 - 670*t**2. Calculate q(-6).,
deepmind-fccc04fce1291ced,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let g(s) = 110*s - 5377. What is g(59)?,
deepmind-fd8d9b02fd8d8170,deepmind_mathematics_dataset,hold_out_of_scope,88,,,clear_for_candidate_generation,clear_for_candidate_review,"Calculate prob of sequence pp when two letters picked without replacement from {p: 2, a: 1}.",
deepmind-ff80f6910b5768fd,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Multiply 15 and -0.2147.,
deepmind-2378603ce9dd0380,deepmind_mathematics_dataset,ready_for_rewrite,86,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,0.2 * -1831,
deepmind-cfc0860835dc9e00,deepmind_mathematics_dataset,ready_for_rewrite,86,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,(-51)/17*1/(-3),
library_of_congress_free_to_use-473bcca0affd1bad,library_of_congress_free_to_use,priority_manual_review,77,evidence_selection,,provisionally_clear_requires_human_confirmation,context_review_required,"Abraham Lincoln papers: Series 3. General Correspondence. 1837-1897: Congress, Wednesday, February 01, 1865 (Joint Resolution Submitting 13th Amendment to the States; signed by Abraham Lincoln and Congress)",https://www.loc.gov/item/mal4361100/
library_of_congress_free_to_use-4c28e7fca64d33f6,library_of_congress_free_to_use,manual_review_required,75,evidence_selection,,manual_rights_review_required,no_automated_flags,[New York Female Giants (baseball)],https://www.loc.gov/item/2014693499/
library_of_congress_free_to_use-f160d2ed32365bed,library_of_congress_free_to_use,priority_manual_review,73,words_in_context,,provisionally_clear_requires_human_confirmation,context_review_required,The House I Live In,https://www.loc.gov/item/mbrs00009167/
library_of_congress_free_to_use-77797b9d85359393,library_of_congress_free_to_use,manual_review_required,71,evidence_selection,,manual_rights_review_required,no_automated_flags,"Free Library of Philadelphia, Passyunk Branch, 1935 Shunk Street, Philadelphia, Philadelphia County, PA",https://www.loc.gov/item/pa4080/
library_of_congress_free_to_use-c064308f7055ada6,library_of_congress_free_to_use,manual_review_required,71,evidence_selection,,manual_rights_review_required,no_automated_flags,"[Abraham Lincoln, head-and-shoulders portrait, traditionally called ""last photograph of Lincoln from life""]",https://www.loc.gov/item/2009630692/
library_of_congress_free_to_use-d456cd2637de6b06,library_of_congress_free_to_use,manual_review_required,71,evidence_selection,,manual_rights_review_required,no_automated_flags,"An outhouse, or outdoor privy, often the only bathroom facility available to slaves and tenant farmers who worked the cotton fields of northeast Louisiana's Delta region, displayed at the Louisiana State Cotton Museum, a living-history museum outside the town of Lake Providence that tells the story of the Old South's most famous crops and the one for which the state's Mississippi Delta region is best known",https://www.loc.gov/item/2020743944/
library_of_congress_free_to_use-ddc337e666da3853,library_of_congress_free_to_use,manual_review_required,71,evidence_selection,,manual_rights_review_required,no_automated_flags,"Plan of the city of Philadelphia and its environs shewing its defences during the years 1777 & 1778, together with the siege of Mud Island on the River Delaware.",https://www.loc.gov/item/gm71002319/
library_of_congress_free_to_use-34d76ac74ff5c10d,library_of_congress_free_to_use,sensitive_context_review,67,evidence_selection,,manual_rights_review_required,context_review_required,"Freedman's Village, Arlington [i.e., Alexandria], Va.",https://www.loc.gov/item/2014645761/
library_of_congress_free_to_use-713ff8667a3650ba,library_of_congress_free_to_use,sensitive_context_review,67,evidence_selection,,manual_rights_review_required,context_review_required,"Sixteenth Street Baptist Church, 1530 Sixth Avenue North, Birmingham, Jefferson County, AL",https://www.loc.gov/item/al0966/
library_of_congress_free_to_use-c14699ffc25c3898,library_of_congress_free_to_use,sensitive_context_review,67,evidence_selection,,manual_rights_review_required,context_review_required,Lost on the field of Chickamauga,https://www.loc.gov/item/2017646975/
library_of_congress_free_to_use-cf0ae70d3de4a8b2,library_of_congress_free_to_use,sensitive_context_review,67,evidence_selection,,manual_rights_review_required,context_review_required,Are you breaking the law? Patriotic Canadians will not hoard food,https://www.loc.gov/item/2005696498/
library_of_congress_free_to_use-dd222acdef378dc8,library_of_congress_free_to_use,sensitive_context_review,67,evidence_selection,,manual_rights_review_required,context_review_required,"[Abraham Lincoln, three-quarter length portrait, seated and holding his spectacles and a pencil]",https://www.loc.gov/item/2018672528/
library_of_congress_free_to_use-e786ab72ffa4b36e,library_of_congress_free_to_use,sensitive_context_review,67,evidence_selection,,manual_rights_review_required,context_review_required,"Marriage at the camp of the 7th N.J.V. Army of the Potomac, Va",https://www.loc.gov/item/2004660284/
project_gutenberg-1b635e8a6e17451c,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The call of the wild,https://www.gutenberg.org/ebooks/215
project_gutenberg-3c3d20712d9c8cc7,project_gutenberg,manual_review_required,64,evidence_selection,,insufficient_item_rights_evidence,insufficient_content_for_age_review,"Walden, and On The Duty Of Civil Disobedience",https://www.gutenberg.org/ebooks/205
project_gutenberg-3e3e94992d99cc7e,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The Return of Sherlock Holmes,https://www.gutenberg.org/ebooks/108
project_gutenberg-43b68daba74df52b,project_gutenberg,manual_review_required,64,evidence_selection,,insufficient_item_rights_evidence,insufficient_content_for_age_review,Common Sense,https://www.gutenberg.org/ebooks/147
project_gutenberg-4ad0e1a9bd6b89bc,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The innocence of Father Brown,https://www.gutenberg.org/ebooks/204
project_gutenberg-61f2fac1b3510d54,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The Picture of Dorian Gray,https://www.gutenberg.org/ebooks/174
project_gutenberg-6a1ce0cc9353cc47,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,"The $30,000 Bequest, and Other Stories",https://www.gutenberg.org/ebooks/142
project_gutenberg-78705d9199a8bec3,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,Flower Fables,https://www.gutenberg.org/ebooks/163
project_gutenberg-b09dc461f55df357,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The Jungle Book,https://www.gutenberg.org/ebooks/236
project_gutenberg-b9ba15efb23e9a27,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The Return of Sherlock Holmes,https://www.gutenberg.org/ebooks/221
project_gutenberg-ba656ec8482ea60b,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The wisdom of Father Brown,https://www.gutenberg.org/ebooks/223
project_gutenberg-cdaf3a650cbd0990,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,The Legend of Sleepy Hollow,https://www.gutenberg.org/ebooks/41
project_gutenberg-d0d84f27017ea418,project_gutenberg,sensitive_context_review,64,evidence_selection,,insufficient_item_rights_evidence,context_review_required,The United States Constitution,https://www.gutenberg.org/ebooks/5
project_gutenberg-f76eab25bddde073,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,Jungle Tales of Tarzan,https://www.gutenberg.org/ebooks/106
project_gutenberg-fef400f2e072f7b9,project_gutenberg,manual_review_required,64,main_idea_inference,,insufficient_item_rights_evidence,insufficient_content_for_age_review,"The Awakening, and Selected Short Stories",https://www.gutenberg.org/ebooks/160
library_of_congress_free_to_use-156dfe3523b8c600,library_of_congress_free_to_use,priority_manual_review,62,,,provisionally_clear_requires_human_confirmation,no_automated_flags,Mexican wild turkey,https://www.loc.gov/item/2016817484/
